Index,Name,Volume,Census isosig,Method,Time,Final isosig,Genus,Tetrahedra,Census fundamental group rank,Homology rank,Haken
0,m003(-3 1),0.9427073627769280,jLvMLQQbfefgihhiixiptvvvgof,Vertex,0.257,jLvMLQQbfefgihhiixiptvvvgof,2,9,2,2,FALSE
1,m003(-2 3),0.9813688288922320,jLvvQQQbghighigihduqugksnof,Vertex,0.441,jLvvQQQbghighigihduqugksnof,2,9,2,1,FALSE
2,m007(3 1),1.0149416064096500,jLvAzQQbefgihhiihxttasjvobr,Vertex,0.156,jLvAzQQbefgihhiihxttasjvobr,2,9,2,2,FALSE
3,m003(-4 3),1.2637092386580400,kLLLLMQkacfgijjhiijnkgjitpemgn,Vertex,0.106,jLLvQMQcdfeghiihihsqaggqtni,2,10,2,2,FALSE
4,m004(6 1),1.2844853004683500,kLLvLQQkcdjgjijhihihsfrovojgng,Cliques,1.752,kLLvLQQkcdjgjijhihihsfrovojgng,2,10,2,1,FALSE
5,m004(1 2),1.3985088841508100,kLLLLQMkbcghgihijjjtsmnonnkddl,Vertex,1.111,kLLLLQMkbcghgihijjjtsmnonnkddl,2,10,2,0,FALSE
6,m009(4 1),1.4140610441653900,kLLvLQQkcdhgjijgijihssrovogncc,Vertex,1.144,kLLvLQQkcdhgjijgijihssrovogncc,2,10,2,1,FALSE
7,m003(-3 4),1.4140610441653900,kLLvLQQkachjihijihjnkpxpadplem,Vertex,0.471,kLLvLQQkachjihijihjnkpxpadplem,2,10,2,1,FALSE
8,m003(-4 1),1.4236119002928300,kLLLLPQkacfghhjiijjnkgjiuldmcn,Vertex,0.616,kLLLLPQkacfghhjiijjnkgjiuldmcn,2,10,2,1,FALSE
9,m004(3 2),1.4406990067273600,kLLLLMQkbcgfgjihijjtsmgoxffsuq,Vertex,0.822,kLLLLMQkbcgfgjihijjtsmgoxffsuq,2,10,2,1,FALSE
10,m004(7 1),1.4637766449272400,lLLLALPQccdgfeihjkkjkhshadhtrcrsw,Gadget and cliques,28.509,lLLLALPQccdgfeihjkkjkhshadhtrcrsw,2,11,2,1,FALSE
11,m004(5 2),1.5294773294300300,lLLLPzMQccddhfijhkjkkpkrbkaaotscs,Vertex,0.175,kLLLLMQkccfghjhihjjlnagghncrpt,2,11,2,1,FALSE
12,m003(-5 3),1.5435689114718600,kLLLLMQkacfgijjhiijjkgjitpemgn,Vertex,0.862,kLLLLMQkacfgijjhiijjkgjitpemgn,2,10,2,1,FALSE
13,m007(1 2),1.5435689114718600,kLLLvQQkbcegjhiihjjtsugakvvfdd,Vertex,1.086,kLLLvQQkbcegjhiihjjtsugakvvfdd,2,10,2,1,FALSE
14,m007(4 1),1.5831666606248100,kLLvQPPkbeghfhiijjjhhhapoatiek,Vertex,0.42,kLLvQPPkbeghfhiijjjhhhapoatiek,2,10,2,1,FALSE
15,m007(3 2),1.5831666606248100,kLvLAPQkcfghigijjjillaqosoixan,Vertex,0.65,kLvLAPQkcfghigijjjillaqosoixan,2,10,2,2,FALSE
16,m006(3 1),1.5886466393001600,lLLvLMQQccdgjifkhkjjkhsgovwandgbm,Vertex,0.112,kLLLzPQkbeffhjihjijhhmifagkmfq,2,11,2,1,FALSE
17,m003(-5 4),1.5886466393001600,lLLzzzQQccdchgjiikjkkhsnwvlpietsf,Vertex,0.206,kLLLALQkcdgfejhijijhshqaqaafjo,2,11,2,1,FALSE
18,m006(-3 2),1.6496097158086600,kLLLLMQkcdfgihjjjiihsxgrvtxpkw,Vertex,0.562,kLLLLMQkcdfgihjjjiihsxgrvtxpkw,2,10,2,1,FALSE
19,m015(5 1),1.7571260291884500,kLvLPPQkcefgijhijjihdhmflsvtan,Vertex,0.211,kLvLPPQkcefgijhijjihdhmflsvtan,2,10,2,1,FALSE
